Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Sankt Nikolaus Riesling Trocken 2017,Germany,Rheingau,Peter Jakob KÃ¼hn,4.3,28,42.89,2017,White,50.01094,8.02121
Nachts Sind Alle Burgunder Grau 2019,Germany,Pfalz,Karl Pfaffmann,4.2,28,7.9,2019,White,49.2346244,8.1198316
Hipping Riesling 2015,Germany,Rheinhessen,KÃ¼hling-Gillot,4.3,28,45.0,2015,White,49.93124,8.3066
Aulerde Riesling GG 2018,Germany,Rheinhessen,Wittmann,4.1,28,36.0,2018,White,41.8483505,-73.0750579
Trittenheimer Apotheke Riesling Trocken 2018,Germany,Mosel,Ansgar ClÃ¼sserath,4.0,28,25.83,2018,White,49.82332,6.89939
Ried Loibenberg Riesling Smaragd 2018,Austria,Wachau,F.X. Pichler,4.3,28,40.19,2018,White,48.3877757,15.530616
Meursault-GenevriÃ¨res Premier Cru 2013,France,Meursault 1er Cru 'GenevriÃ¨res',Domaine Jean Monnier & Fils,4.0,28,95.36,2013,White,46.9782884,4.7698473
Sonnenberg Chardonnay Trocken 2018,Germany,Pfalz,JÃ¼lg,4.0,28,17.5,2018,White,49.0510007,7.9556657
Kaisermantel Weissburgunder 2019,Germany,Baden,Dr. Koehler,4.1,28,6.25,2019,White,30.5541717,-87.8939921
GG Kirchberg Weissburgunder 2015,Germany,Baden,Salwey,4.3,29,35.0,2015,White,48.0889834,7.6292858
Pecorino Terre di Chieti 2019,Italy,Terre di Chieti,Collefrisio,4.0,29,8.9,2019,White,42.2798721,14.3674517
SteingrÃ¼ble 2017,Germany,Baden,Ziereisen,4.1,29,13.95,2017,White,47.6547677,7.5591644
Jesuitengarten Riesling GG 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.0,29,43.77,2017,White,49.4081542,8.1857663
Sauvignon Blanc 500 2018,Germany,Pfalz,Von Winning,4.3,29,40.0,2018,White,49.4106226,8.1863799
