Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Dolcetto d’Alba dei Grassi 2016,Italy,Dolcetto d'Alba,Elio Grasso,3.7,248,17.79,2016,Red,44.5959266,7.982766499999999
Reserve Pinot Noir 2018,Argentina,Tupungato,Domaine Bousquet,4.0,248,10.42,2018,Red,-33.4327804,-69.1925673
Susumaniello 2016,Italy,Salento,Conte di Campiano,4.0,248,7.85,2016,Red,-33.4327804,-69.1925673
Saint-Émilion Grand Cru (Grand Cru Classé) 2000,France,Saint-Émilion Grand Cru,Clos de l'Oratoire,4.1,249,79.34,2000,Red,44.9056203,-0.1385726
Barolo Rocche dell’Annunziata 2010,Italy,Barolo,Aurelio Settimo,4.0,249,45.69,2010,Red,44.6365446,7.9484962
Haut-Médoc 2014,France,Haut-Médoc,Château Peyre-Lebade,4.0,249,22.09,2014,Red,45.073988,-0.773871
Acusp 2016,Spain,Costers del Segre,Castell d'Encus,4.1,249,38.95,2016,Red,42.2074131,0.8985974
Coma Vella Priorat 2014,Spain,Priorat,Mas d'en Gil,4.2,249,29.47,2014,Red,41.15387279999999,0.7654308999999999
Rioja Gran Reserva 2012,Spain,Rioja,Viña Real,3.9,249,23.7,2012,Red,41.15387279999999,0.7654308999999999
Pinotage 2017,South Africa,Stellenbosch,Delheim,3.8,249,13.99,2017,Red,-33.8698991,18.8857395
Quest 2014,Spain,Costers del Segre,Castell d'Encus,4.2,249,37.95,2014,Red,42.2074131,0.8985974
Châteauneuf-du-Pape Chaupin 2015,France,Châteauneuf-du-Pape,Domaine de la Janasse,4.2,249,55.0,2015,Red,42.2074131,0.8985974
Rossofuoco Barbera d'Asti 2019,Italy,Barbera d'Asti,Vite Colte,3.8,25,8.95,2019,Red,44.62606230000001,7.954723199999999
Chinon 2017,France,Chinon,Paul Buisse,3.2,25,8.68,2017,Red,44.62606230000001,7.954723199999999
Cuvée Benedict Red 2012,Slovenia,Štajerska,Dveri Pax,3.1,25,8.5,2012,Red,46.6452494,15.6943761
